/home/paperspace/biomlbench/scripts/gcp-deploy/deploy.py:170: SyntaxWarning: invalid escape sequence '\/'
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-polaris-adme-fang-h-4aef-a2ede2e4 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-polaris-adme-fang-h-4aef-a2ede2e4 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-polaris-adme-fang-hclint-1-13cede77 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-polaris-adme-fang-hclint-1-13cede77 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-polaris-adme-fang-hppb-1-f7092fd6 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-polaris-adme-fang-hppb-1-f7092fd6 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-polaris-adme-fang-hppb-1-c81dfb10 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-polaris-adme-fang-hppb-1-c81dfb10 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-polaris-adme-fang-hppb-1-4c58f7d6 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-polaris-adme-fang-hppb-1-4c58f7d6 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-polaris-adme-fang-solu-1-9ff5de7e (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-polaris-adme-fang-solu-1-9ff5de7e (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-polaris-adme-fang-hppb-1-fb46a4bd (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-polaris-adme-fang-hppb-1-fb46a4bd (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-polaris-adme-fang-solu-1-522b65fe (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-polaris-adme-fang-solu-1-522b65fe (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-polaris-adme-fang-solu-1-6221c7de (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-polaris-adme-fang-solu-1-6221c7de (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-polaris-adme-fang-solu-1-0317d7d9 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-polaris-adme-fang-solu-1-0317d7d9 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-polaris-adme-fang-r-1-e6abe069 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-polaris-adme-fang-r-1-e6abe069 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-polaris-adme-fang-r-1-e1c3ea77 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-polaris-adme-fang-r-1-e1c3ea77 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-polaris-adme-fang-r-1-c7b078e6 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-polaris-adme-fang-r-1-c7b078e6 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-polaris-adme-fang-r-1-9a12d9a8 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-polaris-adme-fang-r-1-9a12d9a8 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-tdcommons-cyp2d6-substrate--dbd8-f4073123 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-tdcommons-cyp2d6-substrate--dbd8-f4073123 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-tdcommons-cyp2d6-substrat-dbd8-030a8d84 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-tdcommons-cyp2d6-substrat-dbd8-030a8d84 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-tdcommons-cyp2d6-su-dbd8-8bcd9886 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-tdcommons-cyp2d6-su-dbd8-8bcd9886 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-tdcommons-cyp2d6-substrat-dbd8-64dd181a (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-tdcommons-cyp2d6-substrat-dbd8-64dd181a (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-tdcommons-lipophilicity-ast-2986-6d5d214c (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-tdcommons-lipophilicity-ast-2986-6d5d214c (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-tdcommons-lipophilicity-a-2986-dbbefaf1 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-tdcommons-lipophilicity-a-2986-dbbefaf1 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-tdcommons-lipophili-2986-807d7b86 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-tdcommons-lipophili-2986-807d7b86 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-tdcommons-lipophilicity-a-2986-46ef87a7 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-tdcommons-lipophilicity-a-2986-46ef87a7 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-tdcommons-caco2-wang-259e3b2b (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-tdcommons-caco2-wang-259e3b2b (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-tdcommons-caco2-wang-34fe9a00 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-tdcommons-caco2-wang-34fe9a00 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-tdcommons-caco2-wang-1d5766df (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-tdcommons-caco2-wang-1d5766df (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-tdcommons-caco2-wang-b98b5b6e (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-tdcommons-caco2-wang-b98b5b6e (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-tdcommons-herg-b4912d5e (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-tdcommons-herg-b4912d5e (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-tdcommons-herg-51fca13c (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-tdcommons-herg-51fca13c (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-tdcommons-herg-9656b23c (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-tdcommons-herg-9656b23c (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-tdcommons-herg-654c759e (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-tdcommons-herg-654c759e (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-tdcommons-bbb-martins-a3962174 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-tdcommons-bbb-martins-a3962174 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-tdcommons-bbb-martins-55aeb5cf (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-tdcommons-bbb-martins-55aeb5cf (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-tdcommons-bbb-martins-e150ee47 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-tdcommons-bbb-martins-e150ee47 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-tdcommons-bbb-martins-d94863eb (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-tdcommons-bbb-martins-d94863eb (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-proteingym-dms-spike-sars2-starr-2020--eef5-2b6e9630 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-proteingym-dms-spike-sars2-starr-2020--eef5-2b6e9630 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-proteingym-dms-spike-sars2-starr-202-eef5-5523a904 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-proteingym-dms-spike-sars2-starr-202-eef5-5523a904 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-proteingym-dms-spike-sars2-sta-eef5-d48adafa (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-proteingym-dms-spike-sars2-sta-eef5-d48adafa (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-proteingym-dms-spike-sars2-starr-202-eef5-4aeb656b (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-proteingym-dms-spike-sars2-starr-202-eef5-4aeb656b (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-proteingym-dms-sbi-staam-tsuboyama-202-a75d-ebe2e149 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-proteingym-dms-sbi-staam-tsuboyama-202-a75d-ebe2e149 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-proteingym-dms-sbi-staam-tsuboyama-2-a75d-36883c2d (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-proteingym-dms-sbi-staam-tsuboyama-2-a75d-36883c2d (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-proteingym-dms-sbi-staam-tsubo-a75d-120048a9 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-proteingym-dms-sbi-staam-tsubo-a75d-120048a9 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-proteingym-dms-sbi-staam-tsuboyama-2-a75d-96406c0e (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-proteingym-dms-sbi-staam-tsuboyama-2-a75d-96406c0e (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-proteingym-dms-psae-picp2-tsuboyama-20-978d-395483d0 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-proteingym-dms-psae-picp2-tsuboyama-20-978d-395483d0 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-proteingym-dms-psae-picp2-tsuboyama--978d-054a0cea (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-proteingym-dms-psae-picp2-tsuboyama--978d-054a0cea (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-proteingym-dms-psae-picp2-tsub-978d-0dc4b35b (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-proteingym-dms-psae-picp2-tsub-978d-0dc4b35b (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-proteingym-dms-psae-picp2-tsuboyama--978d-60d8b44c (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-proteingym-dms-psae-picp2-tsuboyama--978d-60d8b44c (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-proteingym-dms-cbx4-human-tsuboyama-20-86b9-43248c7d (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-proteingym-dms-cbx4-human-tsuboyama-20-86b9-43248c7d (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-proteingym-dms-cbx4-human-tsuboyama--86b9-412a6e34 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-proteingym-dms-cbx4-human-tsuboyama--86b9-412a6e34 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-proteingym-dms-cbx4-human-tsub-86b9-2a874c5f (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-proteingym-dms-cbx4-human-tsub-86b9-2a874c5f (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-proteingym-dms-cbx4-human-tsuboyama--86b9-27e5de05 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-proteingym-dms-cbx4-human-tsuboyama--86b9-27e5de05 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-proteingym-dms-q8eg35-sheon-campbell-2-ba15-bca33445 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-proteingym-dms-q8eg35-sheon-campbell-2-ba15-bca33445 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-proteingym-dms-q8eg35-sheon-campbell-ba15-f23403ca (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-proteingym-dms-q8eg35-sheon-campbell-ba15-f23403ca (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-proteingym-dms-q8eg35-sheon-ca-ba15-531e1ccc (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-proteingym-dms-q8eg35-sheon-ca-ba15-531e1ccc (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-proteingym-dms-q8eg35-sheon-campbell-ba15-240c0630 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-proteingym-dms-q8eg35-sheon-campbell-ba15-240c0630 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-proteingym-dms-csn4-mouse-tsuboyama-20-f8eb-c34054ac (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-proteingym-dms-csn4-mouse-tsuboyama-20-f8eb-c34054ac (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-proteingym-dms-csn4-mouse-tsuboyama--f8eb-144676e0 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-proteingym-dms-csn4-mouse-tsuboyama--f8eb-144676e0 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-proteingym-dms-csn4-mouse-tsub-f8eb-12a66b42 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-proteingym-dms-csn4-mouse-tsub-f8eb-12a66b42 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-proteingym-dms-csn4-mouse-tsuboyama--f8eb-749bbdee (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-proteingym-dms-csn4-mouse-tsuboyama--f8eb-749bbdee (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-manual-open-problems-predict-modality-f43a66d0 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-manual-open-problems-predict-modality-f43a66d0 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-manual-open-problems-predict-modality-c4c65bb9 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-manual-open-problems-predict-modality-c4c65bb9 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-manual-open-problems-predict-m-bdbd-6432f423 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-manual-open-problems-predict-m-bdbd-6432f423 (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-manual-open-problems-predict-modality-68cca46a (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-manual-open-problems-predict-modality-68cca46a (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-manual-open-problems-single-cell-pertu-a5ce-b86a8f46 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-manual-open-problems-single-cell-pertu-a5ce-b86a8f46 (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-biomni-manual-open-problems-single-cell-per-a5ce-9ef47563 (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-biomni-manual-open-problems-single-cell-per-a5ce-9ef47563 (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-mlagentbench-manual-open-problems-single-ce-a5ce-4464f4a3 (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-mlagentbench-manual-open-problems-single-ce-a5ce-4464f4a3 (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-stella-manual-open-problems-single-cell-per-a5ce-ffb34e69 (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-stella-manual-open-problems-single-cell-per-a5ce-ffb34e69 (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-aide-manual-open-problems-cell-cell-communi-049d-d82b0178 (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-aide-manual-open-problems-cell-cell-communi-049d-d82b0178 (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-biomni-manual-open-problems-cell-cell-commu-049d-1e89074b (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-biomni-manual-open-problems-cell-cell-commu-049d-1e89074b (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-mlagentbench-manual-open-problems-cell-cell-049d-08e9dfe9 (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-mlagentbench-manual-open-problems-cell-cell-049d-08e9dfe9 (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-stella-manual-open-problems-cell-cell-commu-049d-1b6c55ef (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-stella-manual-open-problems-cell-cell-commu-049d-1b6c55ef (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-aide-manual-open-problems-spatially-variabl-571b-399ab6c7 (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-aide-manual-open-problems-spatially-variabl-571b-399ab6c7 (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-biomni-manual-open-problems-spatially-varia-571b-0be797e4 (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-biomni-manual-open-problems-spatially-varia-571b-0be797e4 (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-mlagentbench-manual-open-problems-spatially-571b-2577523b (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-mlagentbench-manual-open-problems-spatially-571b-2577523b (attempt 1)
[2025-08-20 01:00:48] Creating VM: bioml-stella-manual-open-problems-spatially-varia-571b-628f0848 (machine type: cpu)
[2025-08-20 01:00:48] Running: Create VM bioml-stella-manual-open-problems-spatially-varia-571b-628f0848 (attempt 1)
[2025-08-20 01:01:08] ✅ Created VM: bioml-aide-polarishub-polaris-adme-fang-hclint-1-058db96c
[2025-08-20 01:01:08] Waiting for SSH on bioml-aide-polarishub-polaris-adme-fang-hclint-1-058db96c...
[2025-08-20 01:01:09] ✅ Created VM: bioml-mlagentbench-polarishub-polaris-adme-fang-hppb-1-4c58f7d6
[2025-08-20 01:01:09] Waiting for SSH on bioml-mlagentbench-polarishub-polaris-adme-fang-hppb-1-4c58f7d6...
[2025-08-20 01:01:09] ✅ Created VM: bioml-mlagentbench-polarishub-polaris-adme-fang-h-4aef-a2ede2e4
[2025-08-20 01:01:09] Waiting for SSH on bioml-mlagentbench-polarishub-polaris-adme-fang-h-4aef-a2ede2e4...
[2025-08-20 01:01:09] ✅ Created VM: bioml-stella-polarishub-polaris-adme-fang-hppb-1-fb46a4bd
[2025-08-20 01:01:09] Waiting for SSH on bioml-stella-polarishub-polaris-adme-fang-hppb-1-fb46a4bd...
[2025-08-20 01:01:09] ✅ Created VM: bioml-aide-polarishub-tdcommons-caco2-wang-259e3b2b
[2025-08-20 01:01:09] Waiting for SSH on bioml-aide-polarishub-tdcommons-caco2-wang-259e3b2b...
[2025-08-20 01:01:09] ✅ Created VM: bioml-biomni-polarishub-polaris-adme-fang-r-1-e1c3ea77
[2025-08-20 01:01:09] Waiting for SSH on bioml-biomni-polarishub-polaris-adme-fang-r-1-e1c3ea77...
[2025-08-20 01:01:10] ✅ Created VM: bioml-stella-polarishub-polaris-adme-fang-hclint-1-13cede77
[2025-08-20 01:01:10] Waiting for SSH on bioml-stella-polarishub-polaris-adme-fang-hclint-1-13cede77...
[2025-08-20 01:01:10] ✅ Created VM: bioml-mlagentbench-polarishub-polaris-adme-fang-solu-1-6221c7de
[2025-08-20 01:01:10] Waiting for SSH on bioml-mlagentbench-polarishub-polaris-adme-fang-solu-1-6221c7de...
[2025-08-20 01:01:10] ✅ Created VM: bioml-mlagentbench-polarishub-tdcommons-herg-9656b23c
[2025-08-20 01:01:10] Waiting for SSH on bioml-mlagentbench-polarishub-tdcommons-herg-9656b23c...
[2025-08-20 01:01:10] ✅ Created VM: bioml-biomni-proteingym-dms-psae-picp2-tsuboyama--978d-054a0cea
[2025-08-20 01:01:10] Waiting for SSH on bioml-biomni-proteingym-dms-psae-picp2-tsuboyama--978d-054a0cea...
[2025-08-20 01:01:10] ✅ Created VM: bioml-biomni-polarishub-polaris-pkis2-egfr-wt-c-1-1296335b
[2025-08-20 01:01:10] Waiting for SSH on bioml-biomni-polarishub-polaris-pkis2-egfr-wt-c-1-1296335b...
[2025-08-20 01:01:10] ✅ Created VM: bioml-aide-proteingym-dms-sbi-staam-tsuboyama-202-a75d-ebe2e149
[2025-08-20 01:01:10] Waiting for SSH on bioml-aide-proteingym-dms-sbi-staam-tsuboyama-202-a75d-ebe2e149...
[2025-08-20 01:01:10] ✅ Created VM: bioml-mlagentbench-polarishub-tdcommons-bbb-martins-e150ee47
[2025-08-20 01:01:10] Waiting for SSH on bioml-mlagentbench-polarishub-tdcommons-bbb-martins-e150ee47...
[2025-08-20 01:01:10] ✅ Created VM: bioml-stella-polarishub-polaris-adme-fang-solu-1-0317d7d9
[2025-08-20 01:01:10] Waiting for SSH on bioml-stella-polarishub-polaris-adme-fang-solu-1-0317d7d9...
[2025-08-20 01:01:11] ✅ Created VM: bioml-aide-polarishub-tdcommons-herg-b4912d5e
[2025-08-20 01:01:11] Waiting for SSH on bioml-aide-polarishub-tdcommons-herg-b4912d5e...
[2025-08-20 01:01:11] ✅ Created VM: bioml-aide-manual-open-problems-spatially-variabl-571b-399ab6c7
[2025-08-20 01:01:11] Waiting for SSH on bioml-aide-manual-open-problems-spatially-variabl-571b-399ab6c7...
[2025-08-20 01:01:11] ✅ Created VM: bioml-biomni-manual-open-problems-predict-modality-c4c65bb9
[2025-08-20 01:01:11] Waiting for SSH on bioml-biomni-manual-open-problems-predict-modality-c4c65bb9...
[2025-08-20 01:01:11] ✅ Created VM: bioml-stella-proteingym-dms-sbi-staam-tsuboyama-2-a75d-96406c0e
[2025-08-20 01:01:11] Waiting for SSH on bioml-stella-proteingym-dms-sbi-staam-tsuboyama-2-a75d-96406c0e...
[2025-08-20 01:01:11] ✅ Created VM: bioml-stella-polarishub-polaris-pkis2-egfr-wt-c-1-1f058a2d
[2025-08-20 01:01:11] Waiting for SSH on bioml-stella-polarishub-polaris-pkis2-egfr-wt-c-1-1f058a2d...
[2025-08-20 01:01:11] ✅ Created VM: bioml-stella-polarishub-tdcommons-cyp2d6-substrat-dbd8-64dd181a
[2025-08-20 01:01:11] Waiting for SSH on bioml-stella-polarishub-tdcommons-cyp2d6-substrat-dbd8-64dd181a...
[2025-08-20 01:01:11] ✅ Created VM: bioml-stella-manual-open-problems-cell-cell-commu-049d-1b6c55ef
[2025-08-20 01:01:11] Waiting for SSH on bioml-stella-manual-open-problems-cell-cell-commu-049d-1b6c55ef...
[2025-08-20 01:01:12] ✅ Created VM: bioml-biomni-proteingym-dms-cbx4-human-tsuboyama--86b9-412a6e34
[2025-08-20 01:01:12] Waiting for SSH on bioml-biomni-proteingym-dms-cbx4-human-tsuboyama--86b9-412a6e34...
[2025-08-20 01:01:12] ✅ Created VM: bioml-stella-manual-open-problems-predict-modality-68cca46a
[2025-08-20 01:01:12] Waiting for SSH on bioml-stella-manual-open-problems-predict-modality-68cca46a...
[2025-08-20 01:01:12] ✅ Created VM: bioml-aide-polarishub-tdcommons-cyp2d6-substrate--dbd8-f4073123
[2025-08-20 01:01:12] Waiting for SSH on bioml-aide-polarishub-tdcommons-cyp2d6-substrate--dbd8-f4073123...
[2025-08-20 01:01:12] ✅ Created VM: bioml-aide-proteingym-dms-cbx4-human-tsuboyama-20-86b9-43248c7d
[2025-08-20 01:01:12] Waiting for SSH on bioml-aide-proteingym-dms-cbx4-human-tsuboyama-20-86b9-43248c7d...
[2025-08-20 01:01:12] ✅ Created VM: bioml-mlagentbench-manual-open-problems-cell-cell-049d-08e9dfe9
[2025-08-20 01:01:12] Waiting for SSH on bioml-mlagentbench-manual-open-problems-cell-cell-049d-08e9dfe9...
[2025-08-20 01:01:14] ✅ Created VM: bioml-mlagentbench-manual-open-problems-spatially-571b-2577523b
[2025-08-20 01:01:14] Waiting for SSH on bioml-mlagentbench-manual-open-problems-spatially-571b-2577523b...
[2025-08-20 01:01:15] ✅ Created VM: bioml-mlagentbench-proteingym-dms-sbi-staam-tsubo-a75d-120048a9
