agent,task,task_group,leaderboard_percentile,above_median,any_medal,rank
dummy,polarishub-tdcommons-herg,Drug Discovery,0.0,0.0,0.0,5.0
dummy,polarishub-tdcommons-lipophilicity-astrazeneca,Drug Discovery,0.0,0.0,0.0,3.0
dummy,proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28,Protein Engineering,0.0,0.0,0.0,5.0
dummy,proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,Protein Engineering,0.0,0.0,0.0,4.0
dummy,proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,Protein Engineering,0.0,0.0,0.0,5.0
dummy,proteingym-dms-Q8EG35-SHEON-Campbell-2022-indels,Protein Engineering,0.0,0.0,0.0,3.5
dummy,proteingym-dms-SBI-STAAM-Tsuboyama-2023-2JVG,Protein Engineering,0.0,0.0,0.0,4.5
dummy,proteingym-dms-SPIKE-SARS2-Starr-2020-binding,Protein Engineering,0.0,0.0,0.0,5.0
mlagentbench,kaggle-histopathologic-cancer-detection,Biomedical Imaging,26.400000000000002,0.0,0.0,2.0
mlagentbench,kaggle-osic-pulmonary-fibrosis-progression,Biomedical Imaging,8.775,0.0,0.0,1.0
mlagentbench,kaggle-rsna-miccai-brain-tumor-radiogenomic-classification,Biomedical Imaging,51.724999999999994,0.5,0.0,2.0
mlagentbench,kaggle-uw-madison-gi-tract-image-segmentation,Biomedical Imaging,0.0,0.0,0.0,3.5
mlagentbench,manual-open-problems-cell-cell-communication-ligand-target,Single Cell Omics,12.5,0.0,0.0,4.0
mlagentbench,manual-open-problems-label-projection,Single Cell Omics,76.65,0.75,0.75,3.0
mlagentbench,manual-open-problems-predict-modality,Single Cell Omics,50.0,0.5,0.5,3.0
mlagentbench,manual-open-problems-single-cell-perturbations,Single Cell Omics,30.0,0.25,0.0,4.0
mlagentbench,polarishub-polaris-adme-fang-hclint-1,Drug Discovery,12.5,0.0,0.0,3.0
mlagentbench,polarishub-polaris-adme-fang-hppb-1,Drug Discovery,30.0,0.0,0.0,2.0
mlagentbench,polarishub-polaris-adme-fang-solu-1,Drug Discovery,0.0,0.0,0.0,3.0
mlagentbench,polarishub-polaris-pkis2-egfr-wt-c-1,Drug Discovery,47.5,0.75,0.0,4.0
mlagentbench,polarishub-tdcommons-bbb-martins,Drug Discovery,15.625,0.0,0.0,3.0
mlagentbench,polarishub-tdcommons-caco2-wang,Drug Discovery,46.425,0.5,0.25,3.0
mlagentbench,polarishub-tdcommons-cyp2d6-substrate-carbonmangels,Drug Discovery,17.875,0.0,0.0,2.0
mlagentbench,polarishub-tdcommons-herg,Drug Discovery,32.150000000000006,0.25,0.25,3.0
mlagentbench,polarishub-tdcommons-lipophilicity-astrazeneca,Drug Discovery,0.0,0.0,0.0,3.0
mlagentbench,proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28,Protein Engineering,2.275,0.0,0.0,4.0
mlagentbench,proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,Protein Engineering,58.35,0.75,0.0,2.0
mlagentbench,proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,Protein Engineering,9.1,0.0,0.0,4.0
mlagentbench,proteingym-dms-Q8EG35-SHEON-Campbell-2022-indels,Protein Engineering,0.0,0.0,0.0,3.5
mlagentbench,proteingym-dms-SBI-STAAM-Tsuboyama-2023-2JVG,Protein Engineering,0.0,0.0,0.0,4.5
mlagentbench,proteingym-dms-SPIKE-SARS2-Starr-2020-binding,Protein Engineering,11.375,0.0,0.0,4.0
stella,kaggle-osic-pulmonary-fibrosis-progression,Biomedical Imaging,5.85,0.0,0.0,3.0
stella,kaggle-rsna-miccai-brain-tumor-radiogenomic-classification,Biomedical Imaging,82.8,1.0,0.0,1.0
stella,manual-open-problems-cell-cell-communication-ligand-target,Single Cell Omics,23.799999999999997,0.3333333333333333,0.0,3.0
stella,manual-open-problems-label-projection,Single Cell Omics,86.63333333333333,1.0,1.0,1.0
stella,manual-open-problems-predict-modality,Single Cell Omics,100.0,1.0,1.0,1.5
stella,manual-open-problems-single-cell-perturbations,Single Cell Omics,55.0,0.75,0.0,2.0
stella,manual-open-problems-spatially-variable-genes,Single Cell Omics,44.43333333333334,0.3333333333333333,0.3333333333333333,2.0
stella,polarishub-polaris-adme-fang-hclint-1,Drug Discovery,7.5,0.0,0.0,4.0
stella,polarishub-polaris-adme-fang-hppb-1,Drug Discovery,0.0,0.0,0.0,4.5
stella,polarishub-polaris-adme-fang-solu-1,Drug Discovery,0.0,0.0,0.0,3.0
stella,polarishub-polaris-pkis2-egfr-wt-c-1,Drug Discovery,62.5,1.0,0.25,2.0
stella,polarishub-tdcommons-bbb-martins,Drug Discovery,12.5,0.0,0.0,4.0
stella,polarishub-tdcommons-caco2-wang,Drug Discovery,0.0,0.0,0.0,4.5
stella,polarishub-tdcommons-cyp2d6-substrate-carbonmangels,Drug Discovery,14.3,0.0,0.0,4.0
stella,polarishub-tdcommons-herg,Drug Discovery,14.3,0.0,0.0,4.0
stella,polarishub-tdcommons-lipophilicity-astrazeneca,Drug Discovery,0.0,0.0,0.0,3.0
stella,proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28,Protein Engineering,15.166666666666666,0.0,0.0,1.0
stella,proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,Protein Engineering,0.0,0.0,0.0,4.0
stella,proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,Protein Engineering,13.65,0.0,0.0,3.0
stella,proteingym-dms-Q8EG35-SHEON-Campbell-2022-indels,Protein Engineering,0.0,0.0,0.0,3.5
stella,proteingym-dms-SBI-STAAM-Tsuboyama-2023-2JVG,Protein Engineering,18.175,0.25,0.0,3.0
stella,proteingym-dms-SPIKE-SARS2-Starr-2020-binding,Protein Engineering,45.475,0.25,0.25,3.0
